sample	condition	species	tissue	stage	color	file
Mmp67	Mmp_wd1	phasiana	wing_disc	pupe1	lightgoldenrod	Counts/Mmp67.count
Mmp68	Mmp_wd1	phasiana	wing_disc	pupe1	lightgoldenrod	Counts/Mmp68.count
Mmp69	Mmp_wd1	phasiana	wing_disc	pupe1	lightgoldenrod	Counts/Mmp69.count
Mmp70	Mmp_wd1	phasiana	wing_disc	pupe1	lightgoldenrod	Counts/Mmp70.count
Mmp73	Mmp_wd1	phasiana	wing_disc	pupe1	lightgoldenrod	Counts/Mmp73.count
Mmp64	Mmp_wd2	phasiana	wing_disc	pupe2	goldenrod	Counts/Mmp64.count
Mmp65	Mmp_wd2	phasiana	wing_disc	pupe2	goldenrod	Counts/Mmp65.count
Mmp66	Mmp_wd2	phasiana	wing_disc	pupe2	goldenrod	Counts/Mmp66.count
Mmp76	Mmp_wd2	phasiana	wing_disc	pupe2	goldenrod	Counts/Mmp76.count
Mmp77	Mmp_wd2	phasiana	wing_disc	pupe2	goldenrod	Counts/Mmp77.count
Mmr37_w1	Mmr_wd1	rileyi	wing_disc	pupe1	lightgreen	Counts/Mmr37_w1.count
Mmr83	Mmr_wd1	rileyi	wing_disc	pupe1	lightgreen	Counts/Mmr83.count
Mmr85	Mmr_wd1	rileyi	wing_disc	pupe1	lightgreen	Counts/Mmr85.count
Mmr86	Mmr_wd1	rileyi	wing_disc	pupe1	lightgreen	Counts/Mmr86.count
Mmr4	Mmr_wd2	rileyi	wing_disc	pupe2	green	Counts/Mmr4.count
Mmr5	Mmr_wd2	rileyi	wing_disc	pupe2	green	Counts/Mmr5.count
Mmr82	Mmr_wd2	rileyi	wing_disc	pupe2	green	Counts/Mmr82.count
Mmr84	Mmr_wd2	rileyi	wing_disc	pupe2	green	Counts/Mmr84.count
Mmp277	Mmp_aa	phasiana	antennae	adult	darkgoldenrod	Counts/Mmp277.count
Mmp282	Mmp_aa	phasiana	antennae	adult	darkgoldenrod	Counts/Mmp282.count
Mmp289	Mmp_aa	phasiana	antennae	adult	darkgoldenrod	Counts/Mmp289.count
Mmp278	Mmp_aa	phasiana	antennae	adult	darkgoldenrod	Counts/Mmp278.count
Mmp281	Mmp_aa	phasiana	antennae	adult	darkgoldenrod	Counts/Mmp281.count
Mmr404	Mmr_aa	rileyi	antennae	adult	darkgreen	Counts/Mmr404.count
Mmr417	Mmr_aa	rileyi	antennae	adult	darkgreen	Counts/Mmr417.count
Mmr178	Mmr_aa	rileyi	antennae	adult	darkgreen	Counts/Mmr178.count
Mmr37_aa	Mmr_aa	rileyi	antennae	adult	darkgreen	Counts/Mmr37_aa.count
Mmr51	Mmr_aa	rileyi	antennae	adult	darkgreen	Counts/Mmr51.count
